Order_ID,Date,Product,Item_ID,Price,Customer_ID,Email
1,10/2/2024,Charging Cable,11604,4.99,10000001,Adam@gmail.com
2,10/2/2024,B6 Monitor,12953,100,10000002,Bob@gmail.com
3,10/2/2024,B6 Monitor,12953,100,10000003,Carl@gmail.com
4,10/2/2024,Charging Cable,11604,4.99,10000004,Dave@gmail.com
5,10/2/2024,32GB USB,40014,9.99,10000005,Erica@gmail.com
6,10/2/2024,XS-1 Server,99041,259.85,10000006,Frank@gmail.com
7,10/2/2024,Charging Cable,11604,4.99,10000007,Gina@gmail.com
8,10/2/2024,Charging Cable,11604,4.99,10000008,Hannah@gmail.com
9,10/2/2024,Charging Plug,30513,4.99,10000009,Iris@gmail.com
10,10/2/2024,Charging Plug,30513,4.99,10000010,James@gmail.com
11,10/2/2024,Ethernet Cable,74267,7.99,10000011,Karoline@gmail.com
12,11/2/2024,Charging Cable,11604,4.99,10000001,Adam@gmail.com
13,11/2/2024,Cable Ties,27384,3.99,10000002,Bob@gmail.com
14,11/2/2024,Charging Cable,11604,4.99,10000003,Carl@gmail.com
15,11/2/2024,Charging Cable,11604,4.99,10000004,Dave@gmail.com
16,11/2/2024,Cable Ties,27384,3.99,10000005,Erica@gmail.com
17,11/2/2024,Rechargable Battery,95132,12.99,10000006,Frank@gmail.com
18,11/2/2024,32GB USB,40014,9.99,10000007,Gina@gmail.com
19,11/2/2024,Charging Cable,11604,4.99,10000008,Hannah@gmail.com
20,12/2/2024,XS-1 Server,99041,259.85,10000001,Adam@gmail.com
21,12/2/2024,Ethernet Cable,74267,7.99,10000002,Bob@gmail.com
22,14/2/2024,Charging Cable,11604,4.99,10000001,Adam@gmail.com
23,14/2/2024,Charging Plug,30513,4.99,10000002,Bob@gmail.com
24,14/2/2024,Promotional USB,12345,0,10000003,Carl@gmail.com
25,14/2/2024,Charging Cable,11604,4.99,10000004,Dave@gmail.com
26,14/2/2024,100GB Hard Drive,63013,24.99,10000005,Erica@gmail.com
27,14/2/2024,Ethernet Cable,74267,7.99,10000006,Frank@gmail.com
28,14/2/2024,Ethernet Cable,74267,7.99,10000007,Gina@gmail.com
29,14/2/2024,Charging Cable,11604,4.99,10000008,Hannah@gmail.com
30,14/2/2024,100GB Hard Drive,63013,24.99,10000009,Iris@gmail.com
31,14/2/2024,Charging Plug,30513,4.99,10000010,James@gmail.com
32,14/2/2024,100GB Hard Drive,63013,24.99,10000011,Karoline@gmail.com
33,14/2/2024,Charging Cable,11604,4.99,10000012,Lena@gmail.com
34,14/2/2024,100GB Hard Drive,63013,24.99,10000013,Mira@gmail.com
35,14/2/2024,Charging Plug,30513,4.99,10000014,Nathan@gmail.com
36,14/2/2024,100GB Hard Drive,63013,24.99,10000015,Oliver@gmail.com
37,14/2/2024,B6 Monitor,12953,100,10000016,Patricia@gmail.com
38,14/2/2024,100GB Hard Drive,63013,24.99,10000017,Quinn@gmail.com
39,14/2/2024,B6 Monitor,12953,100,10000018,Rachel@gmail.com
40,14/2/2024,100GB Hard Drive,63013,24.99,10000019,Sarah@gmail.com
41,14/2/2024,Charging Plug,30513,4.99,10000020,Tia@gmail.com
42,14/2/2024,B6 Monitor,12953,100,10000021,Ursula@gmail.com
43,14/2/2024,100GB Hard Drive,63013,24.99,10000022,Vincent@gmail.com
44,14/2/2024,Charging Cable,11604,4.99,10000023,William@gmail.com
45,14/2/2024,100GB Hard Drive,63013,24.99,10000024,Xia@gmail.com
46,14/2/2024,Ethernet Cable,74267,7.99,10000025,Yael@gmail.com
47,14/2/2024,B6 Monitor,12953,100,10000026,Zara@gmai.com
48,14/2/2024,B6 Monitor,12953,100,10000001,Adam@gmail.com
49,14/2/2024,100GB Hard Drive,63013,24.99,10000002,Bob@gmail.com
50,14/2/2024,100GB Hard Drive,63013,24.99,10000003,Carl@gmail.com
51,14/2/2024,Charging Plug,30513,4.99,10000004,Dave@gmail.com
52,14/2/2024,Charging Plug,30513,4.99,10000005,Erica@gmail.com
53,14/2/2024,Charging Plug,30513,4.99,10000006,Frank@gmail.com
54,14/2/2024,B6 Monitor,12953,100,10000007,Gina@gmail.com
55,14/2/2024,32GB USB,40014,9.99,10000008,Hannah@gmail.com
56,14/2/2024,B6 Monitor,12953,100,10000009,Iris@gmail.com
57,14/2/2024,100GB Hard Drive,63013,24.99,10000010,James@gmail.com
58,14/2/2024,100GB Hard Drive,63013,24.99,10000011,Karoline@gmail.com
59,14/2/2024,Promotional USB,12345,0,10000012,Lena@gmail.com
60,14/2/2024,Promotional USB,12345,0,10000013,Mira@gmail.com
61,14/2/2024,Charging Plug,30513,4.99,10000014,Nathan@gmail.com
62,14/2/2024,100GB Hard Drive,63013,24.99,10000015,Oliver@gmail.com
63,14/2/2024,Charging Cable,11604,4.99,10000016,Patricia@gmail.com
64,14/2/2024,Charging Plug,30513,4.99,10000017,Quinn@gmail.com
65,14/2/2024,XS-1 Server,99041,259.85,10000018,Rachel@gmail.com
66,15/2/2024,Ethernet Cable,74267,7.99,10000001,Adam@gmail.com
67,15/2/2024,32GB USB,40014,9.99,10000002,Bob@gmail.com
68,15/2/2024,100GB Hard Drive,63013,24.99,10000003,Carl@gmail.com
69,15/2/2024,32GB USB,40014,9.99,10000004,Dave@gmail.com
70,15/2/2024,100GB Hard Drive,63013,24.99,10000005,Erica@gmail.com
71,15/2/2024,XS-1 Server,99041,259.85,10000006,Frank@gmail.com
72,15/2/2024,Rechargable Battery,95132,12.99,10000007,Gina@gmail.com
73,15/2/2024,Rechargable Battery,95132,12.99,10000008,Hannah@gmail.com
74,16/2/2024,Ethernet Cable,74267,7.99,10000001,Adam@gmail.com
75,16/2/2024,Ethernet Cable,74267,7.99,10000002,Bob@gmail.com
76,16/2/2024,32GB USB,40014,9.99,10000003,Carl@gmail.com
77,16/2/2024,Charging Plug,30513,4.99,10000004,Dave@gmail.com
78,16/2/2024,Charging Plug,30513,4.99,10000005,Erica@gmail.com
